id,supplier,parentSupplier,zone,country,category,scorecard_category,kpiApplicability,supplierApprovalStatus,greenCount,yellowCount,redCount,naCount,blankCount,year
sa-648,Brewery Valle,Brewery Valle,MAZ,Colombia,,DIRECT,Applicable,,0,0,0,0,1,2026
sa-649,Brewery Veza Sur,Brewery Veza Sur,NAZ,United States,Brewery,DIRECT,Applicable,Approved,0,0,0,0,1,2026
sa-650,Brewery Viamao (Aguas Claras Da Sul),Brewery Viamao (Aguas Claras Da Sul),SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-651,Brewery Wals,Brewery Wals,SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-652,Brewery Wenzhou,Brewery Wenzhou,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-653,Brewery Wernigerode,Brewery Wernigerode,EUR,Germany,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-654,Brewery Wicked Weed,Brewery Wicked Weed,NAZ,United States,Brewery,DIRECT,Applicable,Approved,0,0,0,0,1,2026
sa-655,Brewery Williamsburg,Brewery Williamsburg,NAZ,United States,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-656,Brewery Wugang,Brewery Wugang,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-657,Brewery Wuhan,Brewery Wuhan,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-658,Brewery Xinxiang,Brewery Xinxiang,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-659,Brewery Xinyang,Brewery Xinyang,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-660,Brewery Yanji,Brewery Yanji,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-661,Brewery Yingkou,Brewery Yingkou,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-662,Brewery Ypane,Brewery Ypane,SAZ,Paraguay,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-663,Brewery ZBS,Brewery ZBS,SAZ,Brazil,Brewery,DIRECT,Applicable,Approved,0,0,0,0,1,2026
sa-664,Brewery Zacapa,Brewery Zacapa,MAZ,Guatemala,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-665,Brewery Zacatecas,Brewery Zacatecas,MAZ,Mexico,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
